ACCNUM,DATE,TIME,HOUR,STREET1,STREET2,ROAD_CLASS,LATITUDE,LONGITUDE,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,Age_mid,INJURY,VEHTYPE,DRIVACT,DRIVCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood
889323,2006/01/29 05:00:00+00,2130,21,ST CLAIR AVE W,SPADINA RD,Major Arterial,43.684645,-79.41119,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Driver,40 to 44,42,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,96,Casa Loma (96)
889773,2006/02/02 05:00:00+00,1421,14,SPADINA AVE,NASSAU ST,Major Arterial,43.655845,-79.39919,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,50 to 54,52,Major,Other,Unknown,Unknown,No,No,Yes,No,No,Yes,No,No,No,No,No,No,78,Kensington-Chinatown (78)
889954,2006/02/03 05:00:00+00,758,7,BIRCHMOUNT RD,L AMOREAUX DR,Major Arterial,43.800645,-79.30709,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Driver,70 to 74,72,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,117,L'Amoreaux (117)
918360,2006/07/18 04:00:00+00,1020,10,YONGE ST,LORD SEATON RD,Major Arterial,43.752445,-79.40809,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,52,Major,"Automobile, Station Wagon",Failed to Yield Right of Way,Inattentive,No,No,Yes,No,No,No,No,No,Yes,No,No,No,40,St.Andrew-Windfields (40)
914314,2006/07/19 04:00:00+00,2230,22,BLOOR ST W,LANSDOWNE AVE,Major Arterial,43.658345,-79.44269,Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian,45 to 49,47,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,93,Dovercourt-Wallace Emerson-Junction (93)
918378,2006/07/20 04:00:00+00,1623,16,EGLINTON AVE W,LLOYD MANOR RD,Major Arterial,43.675745,-79.55709,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Motorcycle Driver,40 to 44,42,Major,Motorcycle,Driving Properly,Normal,No,No,Yes,Yes,No,No,No,No,No,No,No,No,10,Princess-Rosethorn (10)
922819,2006/07/20 04:00:00+00,1624,16,70 MILNER AVE,Unknown,Minor Arterial,43.784045,-79.25269,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,128,Agincourt South-Malvern West (128)
916031,2006/07/20 04:00:00+00,1715,17,ST MARKS RD,BROOKSIDE AVE,Collector,43.659845,-79.49149,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,114,Lambton Baby Point (114)
918693,2006/07/22 04:00:00+00,640,6,RICHMOND ST E,PARLIAMENT ST,Major Arterial,43.654545,-79.36399,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,52,Major,"Automobile, Station Wagon",Disobeyed Traffic Control,Inattentive,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,73,Moss Park (73)
915114,2006/07/23 04:00:00+00,515,5,HIGHWAY 27 S  S,401 X W 427 X RAMP,Major Arterial,43.679345,-79.57879,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,45 to 49,47,Major,"Automobile, Station Wagon",Other,"Ability Impaired, Alcohol Over .08",No,No,Yes,No,No,No,No,No,No,No,Yes,No,1,West Humber-Clairville (1)
914846,2006/07/23 04:00:00+00,1357,13,VICTORIA PARK AVE,BISCAYNE BLVD,Major Arterial,43.729145,-79.30449,Intersection,No Control,Rain,Daylight,Wet,Fatal,Pedestrian,70 to 74,72,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,119,Wexford/Maryvale (119)
915101,2006/07/24 04:00:00+00,1302,13,LAKE SHORE BLVD W,JAMESON LAKESHORE RAMP,Major Arterial,43.631745,-79.43259,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,30 to 34,32,Major,Bicycle,Unknown,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,85,South Parkdale (85)
918775,2006/07/24 04:00:00+00,1428,14,STEELES AVE W,ALNESS ST,Major Arterial,43.78464500000001,-79.48109000000002,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,27,York University Heights (27)
919231,2006/07/24 04:00:00+00,2348,23,DON MILLS RD,DON VALLEY PARKWAY S  S,Major Arterial,43.700245,-79.33769000000002,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,30 to 34,32,None,"Automobile, Station Wagon",Other,"Ability Impaired, Alcohol Over .08",No,No,Yes,No,No,No,No,No,No,No,Yes,No,58,Old East York (58)
915543,2006/07/26 04:00:00+00,544,5,NUGGET AVE,SHORTING RD,Minor Arterial,43.796345,-79.25089,Intersection,Stop Sign,Clear,Daylight,Other,Non-Fatal Injury,Truck Driver,60 to 64,62,None,Truck - Open,Driving Properly,Normal,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,128,Agincourt South-Malvern West (128)
919514,2006/07/26 04:00:00+00,2135,21,ALBION RD,ARMEL CRT,Major Arterial,43.721345,-79.54559,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Vehicle Owner,unknown,unknown,None,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,5,Elms-Old Rexdale (5)
919835,2006/07/28 04:00:00+00,1610,16,225 BIRMINGHAM ST,Unknown,Collector,43.602045,-79.51169,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,18,New Toronto (18)
915991,2006/07/28 04:00:00+00,1626,16,ISLINGTON AVE,DIXON RD,Major Arterial,43.694445,-79.54549,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Pedestrian,20 to 24,22,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,6,Kingsview Village-The Westway (6)
924338,2006/07/30 04:00:00+00,720,7,LAWRENCE AVE W,JANE ST,Major Arterial,43.702845,-79.50379000000002,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 24,22,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,30,Brookhaven-Amesbury (30)
922598,2006/07/30 04:00:00+00,1435,14,DON MILLS RD,MCNICOLL AVE,Major Arterial,43.799645,-79.35409,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,45 to 49,47,Major,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,48,Hillcrest Village (48)
916024,2006/07/30 04:00:00+00,2155,21,F G GARDINER XY Ramp W,GARDINER W S KINGSWAY RAMP,Unknown,43.634645,-79.47159,Exit Ramp Westbound,No Control,Clear,Dark,Dry,Fatal,Motorcycle Driver,20 to 24,22,Fatal,Motorcycle,Lost control,Unknown,No,No,No,Yes,No,No,No,No,No,No,No,No,85,South Parkdale (85)
916541,2006/07/31 04:00:00+00,632,6,FINCH AVE E,BRAHMS AVE,Major Arterial,43.791945,-79.35809,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,30 to 34,32,None,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,47,Don Valley Village (47)
920182,2006/07/31 04:00:00+00,1440,14,BLOOR ST W,KENNEDY AVE,Major Arterial,43.651245,-79.47549000000002,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,87,High Park-Swansea (87)
920315,2006/07/31 04:00:00+00,1659,16,BAY ST,KING ST W,Major Arterial,43.648645,-79.38029,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,30 to 34,32,Major,Bicycle,Unknown,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,76,Bay Street Corridor (76)
920756,2006/08/01 04:00:00+00,1838,18,HENLEY CRES,KIPLING AVE,Local,43.730645,-79.57539,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,70 to 74,72,None,"Automobile, Station Wagon",Disobeyed Traffic Control,Unknown,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4,Rexdale-Kipling (4)
916630,2006/08/01 04:00:00+00,2345,23,NEILSON RD,WICKSON TRL,Minor Arterial,43.802045,-79.21779000000002,Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian,30 to 34,32,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,132,Malvern (132)
916979,2006/08/03 04:00:00+00,122,1,F G GARDINER XY E  E,LAKESHORE W GARDINER RAMP E,Major Arterial,43.634145,-79.47169,Mid-Block,No Control,Rain,Dark,Wet,Non-Fatal Injury,Vehicle Owner,unknown,unknown,None,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,85,South Parkdale (85)
917154,2006/08/03 04:00:00+00,130,1,JANE ST,FOXWELL ST,Major Arterial,43.672145,-79.49399,Mid-Block,No Control,Rain,Dark,Wet,Fatal,Pedestrian,50 to 54,52,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,111,Rockcliffe-Smythe (111)
916791,2006/08/03 04:00:00+00,319,3,MIDLAND AVE,LAWRENCE AVE E,Major Arterial,43.751545,-79.26509,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Passenger,25 to 29,27,None,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,127,Bendale (127)
920424,2006/08/03 04:00:00+00,1831,18,SHEPPARD AVE E,DORIS AVE,Major Arterial,43.762045,-79.40829000000002,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,55 to 59,57,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,51,Willowdale East (51)
917223,2006/08/05 04:00:00+00,6,6,WESTHEAD RD,DUNNING CRES,Local,43.603245,-79.55459,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 24,22,None,"Automobile, Station Wagon",Other,Had Been Drinking,Yes,No,Yes,No,No,No,No,No,No,No,No,No,20,Alderwood (20)
920995,2006/08/05 04:00:00+00,330,3,333 KING ST W,Unknown,Major Arterial,43.646245,-79.39149,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,Over 95,unknown,None,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,No,Yes,No,No,No,77,Waterfront Communities-The Island (77)
917225,2006/08/06 04:00:00+00,203,2,MOUNT PLEASANT RD,SOUTH DR,Major Arterial,43.677645,-79.38059,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 24,22,None,"Automobile, Station Wagon",Other,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98,Rosedale-Moore Park (98)
917572,2006/08/06 04:00:00+00,2150,21,DANFORTH AVE,LUTTRELL AVE,Major Arterial,43.690145,-79.29309,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,None,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,61,Taylor-Massey (61)
917426,2006/08/07 04:00:00+00,2110,21,FINCH AVE W,KISKADEE DR,Major Arterial,43.735245,-79.59819,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,unknown,unknown,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,1,West Humber-Clairville (1)
890013,2006/02/03 05:00:00+00,957,9,ELLESMERE RD,BIRCHMOUNT RD,Major Arterial,43.763445,-79.29139,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Driver,50 to 54,52,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,126,Dorset Park (126)
887427,2006/02/07 05:00:00+00,1330,13,JANE ST,BRADLEY AVE,Major Arterial,43.663745,-79.49039,Mid-Block,Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,52,None,"Automobile, Station Wagon",Other,Inattentive,Yes,No,Yes,No,No,No,No,No,No,No,No,No,89,Runnymede-Bloor West Village (89)
890583,2006/02/08 05:00:00+00,745,7,WOODSIDE AVE,RUNNYMEDE RD,Minor Arterial,43.657845,-79.47909,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,32,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,88,High Park North (88)
887637,2006/02/08 05:00:00+00,1500,15,CARLINGVIEW DR,DIXON RD,Major Arterial,43.686745,-79.59559,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,52,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,1,West Humber-Clairville (1)
891027,2006/02/11 05:00:00+00,1804,18,UNDERHILL DR,CASSANDRA BLVD,Collector,43.752745,-79.32639,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,65 to 69,67,None,"Automobile, Station Wagon",Improper Turn,Inattentive,No,Yes,Yes,No,No,No,No,No,No,No,No,No,45,Parkwoods-Donalda (45)
888108,2006/02/12 05:00:00+00,845,8,840 KENNEDY RD,Unknown,Major Arterial,43.735945,-79.26949,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,42,None,"Automobile, Station Wagon",Driving Properly,Normal,No,No,Yes,No,No,No,No,No,No,No,No,No,125,Ionview (125)
891189,2006/02/12 05:00:00+00,856,8,PAPE AVE,CANNING AVE,Major Arterial,43.682345,-79.34609,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,None,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,66,Danforth (66)
888231,2006/02/13 05:00:00+00,925,9,GLENBURN AVE,TIAGO AVE,Local,43.712545,-79.30039000000002,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,55 to 59,57,Major,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,54,O'Connor-Parkview (54)
891178,2006/02/14 05:00:00+00,520,5,EGLINTON AVE W,BLACK CREEK DR,Major Arterial,43.688345,-79.48289,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,None,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,110,Keelesdale-Eglinton West (110)
888497,2006/02/15 05:00:00+00,935,9,WESTWOOD AVE,WOODYCREST AVE,Local,43.687345,-79.34469,Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian,70 to 74,72,Fatal,Other,Unknown,Unknown,Yes,No,No,No,No,No,No,No,Yes,No,No,No,59,Danforth East York (59)
888639,2006/02/16 05:00:00+00,620,6,2443 ISLINGTON AVE,Unknown,Major Arterial,43.725545,-79.56009,Mid-Block,No Control,Snow,Daylight,Slush,Non-Fatal Injury,Driver,40 to 44,42,Major,"Automobile, Station Wagon",Speed too Fast For Condition,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,5,Elms-Old Rexdale (5)
891641,2006/02/16 05:00:00+00,2159,21,DOVERCOURT RD,NORTHUMBERLAND ST,Minor Arterial,43.662545,-79.42979,Mid-Block,No Control,Rain,Dark,Wet,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,93,Dovercourt-Wallace Emerson-Junction (93)
893071,2006/02/19 05:00:00+00,1508,15,EGLINTON AVE E,SUTHERLAND DR,Major Arterial,43.713045,-79.36719000000002,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,45 to 49,47,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,56,Leaside-Bennington (56)
893365,2006/02/20 05:00:00+00,607,6,1302 KING ST W,Unknown,Major Arterial,43.638245,-79.43109,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Passenger,40 to 44,42,Major,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,85,South Parkdale (85)
